dataset,accuracy,precision,recall,f1,auc_roc
Real test,0.9280359820089955,0.8309859154929577,0.6210526315789474,0.7108433734939759,0.8963746779536254
Synthetic,0.858,0.48717948717948717,0.5507246376811594,0.5170068027210885,0.8637815662934194
