operating_point,threshold,precision,recall,f1,auc
Default (0.5),0.5,0.8333333333333334,0.631578947368421,0.718562874251497,0.8962458594037541
F1-max,0.45,0.8289473684210527,0.6631578947368421,0.7368421052631579,0.8962458594037541
Recall-75,0.05,0.3514644351464435,0.8842105263157894,0.5029940119760479,0.8962458594037541
